,word,word_len
146300,Agenise,7
146299,Agenize,7
108688,Ageratina,9
58581,Aggeus,6
57761,Agha,4
140959,Aghan,5
10495,Agincourt,9
15216,Agkistrodon,11
83644,Aglaia,6
122706,Aglaomorpha,11
107118,Aglaonema,9
12150,Agnatha,7
83863,Agni,4
25246,Agonidae,8
25251,Agonus,6
79166,Agra,4
95852,Agricola,8
73619,Agriculture,11
78630,Agrigento,9
15559,Agriocharis,11
95854,Agrippa,7
95856,Agrippina,9
11095,Agrobacterium,13
110658,Agropyron,9
107398,Agrostemma,10
110686,Agrostis,8
95860,Ahab,4
83940,Ahriman,7
105573,Ahuehuete,9
83865,Ahura,5
78412,Ahvenanmaa,10
84284,Aides,5
84285,Aidoneus,8
78420,Aigina,6
95861,Aiken,5
95864,Ailey,5
23632,Ailuropoda,10
23630,Ailuropodidae,13
23622,Ailurus,7
81385,Aire,4
18885,Airedale,8
16263,Aix,3
107571,Aizoaceae,9
17839,Ajaia,5
84429,Ajax,4
119509,Ajuga,5
79329,Akaba,5
63518,Akan,4
78325,Aken,4
17220,Akeridae,8
62872,Akha,4
76213,Akhbari,7
95869,Akhenaten,9
95868,Akhenaton,9
78504,Akka,4
63438,Akkadian,8
78503,Akko,4
80103,Akmola,6
80915,Akron,5
63517,Aku,3
135675,Al,2
84807,Alabama,7
85580,Alabaman,8
85581,Alabamian,9
84430,Aladdin,7
10496,Alamo,5
136409,Alar,4
95872,Alaric,6
80354,Alaska,6
192671,Alaskan,7
12611,Alauda,6
12608,Alaudidae,9
77797,Albania,7
62985,Albanian,8
80826,Albany,6
121795,Albatrellus,11
95873,Albee,5
95876,Albers,6
95878,Albert,6
78705,Alberta,7
95881,Alberti,7
73265,Albigenses,10
192672,Albigensian,11
56945,Albigensianism,14
78962,Albion,6
78267,Alborg,6
121202,Albuginaceae,12
121204,Albugo,6
23998,Albula,6
23996,Albulidae,9
80807,Albuquerque,11
18306,Alca,4
95883,Alcaeus,7
58035,Alcaic,6
111571,Alcea,5
15974,Alcedinidae,11
15978,Alcedo,6
22602,Alcelaphus,10
22747,Alces,5
95884,Alcibiades,10
18302,Alcidae,7
84345,Alcides,7
95885,Alcott,6
16838,Alcyonacea,10
16836,Alcyonaria,10
83585,Alcyone,7
136740,Aldactone,9
81392,Aldebaran,9
35804,Aldomet,7
118907,Aldrovanda,10
24386,Alectis,7
83715,Alecto,6
121285,Alectoria,9
15735,Alectoris,9
15659,Alectura,8
80234,Alep,4
24018,Alepisaurus,11
80233,Aleppo,6
114553,Aletris,7
120576,Aleurites,9
85984,Aleut,5
85985,Aleutian,8
78783,Aleutians,9
36274,Aleve,5
120802,Alexander,9
120803,Alexanders,10
79119,Alexandria,10
196253,Alexandrian,11
57819,Alexandrine,11
20578,Aleyrodes,9
20576,Aleyrodidae,11
95901,Alfred,6
95904,Alger,5
77803,Algeria,7
85137,Algerian,8
77804,Algerie,7
23260,Algeripithecus,14
77806,Algiers,7
81393,Algol,5
62570,Algonkian,9
62571,Algonkin,8
62557,Algonquian,10
84811,Algonquin,9
95906,Algren,6
25794,Alhambra,8
95909,Alhazen,7
95913,Ali,3
116749,Alisma,6
116733,Alismales,9
116746,Alismataceae,12
105871,Alismatidae,11
35677,Alkeran,7
84026,Allah,5
81394,Alleghenies,11
81396,Allegheny,9
95920,Allen,5
80950,Allentown,9
140703,Allhallows,10
140709,Allhallowtide,13
114565,Alliaceae,9
108146,Alliaria,8
73965,Allies,6
14626,Alligatoridae,13
107832,Allionia,8
107808,Allioniaceae,12
114567,Allium,6
80105,Almaty,6
83994,Almighty,8
85084,Almoravid,9
136464,Alnico,6
112816,Alnus,5
114649,Aloeaceae,9
95927,Alonso,6
110702,Alopecurus,10
19124,Alopex,6
12278,Alopiidae,9
12280,Alopius,7
23854,Alosa,5
78894,Alost,5
23417,Alouatta,8
80687,Alpena,6
196232,Alpine,6
113686,Alpinia,7
2648,Alpinism,8
81410,Alps,4
79394,Alsace,6
79395,Alsatia,7
86011,Alsatian,8
119416,Alsobia,7
21069,Alsophila,9
106986,Alstonia,8
114668,Alstroemeriaceae,16
85138,Altaic,6
81412,Altair,6
107643,Alternanthera,13
80951,Altoona,7
35761,Alupent,7
108153,Alyssum,7
14088,Alytes,6
133709,Alzheimers,10
135684,Am,2
83721,Amaethon,8
121367,Amanita,7
107617,Amaranthaceae,13
107620,Amaranthus,10
81005,Amarillo,8
114452,Amaryllidaceae,14
83972,Amaterasu,9
95929,Amati,5
123349,Amauropelta,11
81417,Amazon,6
15858,Amazona,7
108698,Amberboa,8
24215,Ambloplites,11
14375,Amblyrhynchus,13
95932,Ambrose,7
108704,Ambrosiaceae,12
192731,Ambrosian,9
13894,Ambystoma,9
13892,Ambystomatidae,14
23710,Ameiuridae,10
23712,Ameiurus,8
116887,Amelanchier,11
83757,Amen,4
113137,Amentiferae,11
81419,America,7
195410,American,8
25840,Americana,9
125122,Americanisation,15
145338,Americanise,11
45866,Americanism,11
125121,Americanization,15
145345,Americanize,11
195415,Amerind,7
84797,Amerindian,10
195416,Amerindic,9
85265,Amhara,6
63440,Amharic,7
25138,Amia,4
114675,Amianthum,9
25136,Amiidae,7
85045,Amish,5
79326,Amman,5
24896,Ammodytes,9
24894,Ammodytidae,11
22525,Ammotragus,10
12139,Amniota,7
11409,Amoebida,8
11411,Amoebina,8
83758,Amon,4
71848,Amontillado,11
84208,Amor,4
58562,Amos,4
25874,Amoxil,6
62850,Amoy,4
13846,Amphibia,8
20229,Amphibolips,11
115396,Amphicarpa,10
115394,Amphicarpaea,12
17245,Amphineura,10
12096,Amphioxidae,11
17674,Amphipoda,9
24753,Amphiprion,10
14444,Amphisbaena,11
14446,Amphisbaenia,12
14442,Amphisbaenidae,14
13969,Amphiumidae,11
119255,Amsinckia,9
106992,Amsonia,7
79484,Amsterdam,9
95936,Amundsen,8
81424,Amur,4
117162,Amygdalaceae,12
117164,Amygdalus,9
25872,Amytal,6
83722,Ana,3
24125,Anabantidae,11
56969,Anabaptism,10
85043,Anabaptist,10
24127,Anabas,6
20353,Anabrus,7
23748,Anacanthini,11
118596,Anacardiaceae,13
118599,Anacardium,10
108720,Anacyclus,9
106876,Anadenanthera,13
110525,Anagallis,9
21097,Anagasta,8
115402,Anagyris,8
80393,Anaheim,7
116685,Ananas,6
84550,Ananias,7
108725,Anaphalis,9
36275,Anaprox,7
14193,Anapsida,8
81435,Anapurna,8
24871,Anarhichadidae,14
24873,Anarhichas,10
16196,Anas,4
20497,Anasa,5
84812,Anasazi,7
12167,Anaspida,8
108157,Anastatica,10
17791,Anastomus,9
16185,Anatidae,8
77780,Anatolia,8
63312,Anatolian,9
95938,Anaxagoras,10
95939,Anaximander,11
95940,Anaximenes,10
80359,Anchorage,9
15218,Ancistrodon,11
81427,Ancohuma,8
17194,Ancylidae,9
17029,Ancylostomatidae,16
17196,Ancylus,7
76361,Andalucia,9
76360,Andalusia,9
192784,Andalusian,10
196234,Andean,6
95941,Andersen,8
95943,Anderson,8
81429,Andes,5
115407,Andira,6
80148,Andorra,7
85140,Andorran,8
104890,Andreaea,8
104888,Andreaeales,11
20150,Andrenidae,10
95956,Andrew,6
95960,Andrews,7
20231,Andricus,8
81430,Andromeda,9
110708,Andropogon,10
84349,Andvari,7
13953,Aneides,7
120932,Anemia,6
106471,Anemonella,10
122524,Anemopsis,9
120626,Anethum,7
63385,Angas,5
81431,Angel,5
58703,Angelus,7
85305,Angevin,7
85306,Angevine,8
105839,Angiospermae,12
85237,Angle,5
79102,Anglesea,8
79100,Anglesey,8
78963,Anglia,6
63052,Anglian,7
195648,Anglican,8
56950,Anglicanism,11
3385,Anglicism,9
52989,Anglomania,10
67952,Anglophilia,11
192804,Anglophilic,11
67958,Anglophobia,11
192805,Anglophobic,11
77820,Angola,6
196381,Angolan,7
85142,Angolese,8
22549,Angora,6
110089,Angraecum,9
68224,Angst,5
14515,Anguidae,8
23819,Anguilla,8
196382,Anguillan,9
23817,Anguillidae,11
23812,Anguilliformes,14
17013,Anguillula,10
14521,Anguis,6
83726,Angus,5
16374,Anhima,6
16371,Anhimidae,9
18414,Anhingidae,10
113128,Anigozanthus,12
10836,Animalia,8
20844,Anisoptera,10
24539,Anisotremus,11
79397,Anjou,5
80272,Ankara,6
77808,Annaba,6
81147,Annam,5
62932,Annamese,8
62933,Annamite,8
80644,Annapolis,9
83897,Annapurna,9
17043,Annelida,8
14535,Anniellidae,11
106040,Annona,6
106037,Annonaceae,10
61193,Annunciation,12
52581,Annwfn,6
52582,Annwn,5
19770,Anobiidae,9
17375,Anodonta,8
110092,Anoectochilus,13
123114,Anogramma,9
14437,Anolis,6
19720,Anomala,7
11942,Anomalopidae,12
17343,Anomia,6
17341,Anomiidae,9
20056,Anopheles,9
19839,Anoplura,8
17701,Anostraca,9
95962,Anouilh,7
32268,Ansaid,6
95964,Anselm,6
16317,Anser,5
16187,Anseres,7
16182,Anseriformes,12
16345,Anserinae,9
83783,Anshar,6
30804,Antabuse,8
80279,Antakiya,8
80278,Antakya,7
80275,Antalya,7
79605,Antananarivo,12
191071,Antarctic,9
81436,Antarctica,10
81441,Antares,7
21441,Antedon,7
21437,Antedonidae,11
108732,Antennaria,10
24072,Antennariidae,13
108745,Anthemis,8
21273,Antheraea,9
114680,Anthericum,10
108760,Antheropeas,11
20170,Anthidium,9
104871,Anthoceropsida,14
104877,Anthoceros,10
104875,Anthocerotaceae,15
104873,Anthocerotales,14
19779,Anthonomus,10
95982,Anthony,7
105843,Anthophyta,10
16819,Anthozoa,8
120638,Anthriscus,10
23190,Anthropoidea,12
12620,Anthus,6
115415,Anthyllis,9
95971,Antichrist,10
62465,Antido,6
22620,Antidorcas,10
84472,Antigone,8
11968,Antigonia,9
95972,Antigonus,9
77830,Antigua,7
85144,Antiguan,8
78141,Antilles,8
22698,Antilocapra,11
22696,Antilocapridae,14
22583,Antilope,8
80277,Antioch,7
119961,Antirrhinum,11
35649,Antivert,8
81457,Antlia,6
77915,Antofagasta,11
95975,Antoninus,9
95985,Antonius,8
95981,Antony,6
19468,Antrozous,9
83784,Antum,5
78897,Antwerp,7
78896,Antwerpen,9
83785,Anu,3
83761,Anubis,6
83786,Anunnaki,8
13982,Anura,5
78898,Anvers,6
78595,Anzio,5
23413,Aotus,5
84830,Apache,6
81458,Apalachicola,12
20969,Apatura,7
79487,Apeldoorn,9
81460,Apennines,9
16986,Aphasmidia,10
20642,Aphididae,9
20639,Aphidoidea,10
20644,Aphis,5
18063,Aphriza,7
84164,Aphrodite,9
20718,Aphrophora,10
114686,Aphyllanthaceae,15
114688,Aphyllanthes,12
121786,Aphyllophorales,15
79854,Apia,4
120615,Apiaceae,8
20125,Apidae,6
115423,Apios,5
20127,Apis,4
120646,Apium,5
17249,Aplacophora,11
110095,Aplectrum,9
21934,Aplodontia,10
21932,Aplodontiidae,13
17211,Aplysia,7
17207,Aplysiidae,10
58657,Apocalypse,10
58716,Apocrypha,9
192924,Apocryphal,10
106946,Apocynaceae,11
106949,Apocynum,8
21556,Apodemus,8
16030,Apodidae,8
16027,Apodiformes,11
24318,Apogon,6
24315,Apogonidae,10
20117,Apoidea,7
95987,Apollinaire,11
84160,Apollo,6
107879,Aporocactus,11
86126,Apostle,7
76362,Appalachia,10
192943,Appalachian,11
81463,Appalachians,12
22108,Appaloosa,9
95990,Appleton,8
140869,Apr,3
33924,Apresoline,10
140868,April,5
83788,Apsu,4
18440,Aptenodytes,11
12542,Apterygidae,11
12540,Apterygiformes,14
78619,Apulia,6
81465,Apus,4
79328,Aqaba,5
77722,Aquarius,8
118565,Aquifoliaceae,13
81468,Aquila,6
95993,Aquinas,7
79398,Aquitaine,9
79399,Aquitania,9
135690,Ar,2
81469,Ara,3
85477,Arab,4
78868,Arabia,6
85478,Arabian,7
196396,Arabic,6
108162,Arabidopsis,11
108167,Arabis,6
86161,Arabist,7
107093,Araceae,7
106728,Arachis,7
15289,Arachnida,9
95999,Arafat,6
96001,Aragon,6
81472,Araguaia,8
81474,Araguaya,8
107091,Arales,6
107298,Araliaceae,10
80230,Aram,4
192962,Aramaean,8
57842,Aramaic,7
86162,Aramean,7
17914,Aramus,6
15340,Aranea,6
15329,Araneae,7
15331,Araneida,8
15342,Araneus,7
58779,Aranyaka,8
84831,Arapaho,7
84832,Arapahoe,8
81476,Ararat,6
81479,Aras,4
81481,Arauca,6
105605,Araucariaceae,13
123439,Araujia,7
34878,Arava,5
62686,Arawak,6
192965,Arawakan,8
83727,Arawn,5
81480,Araxes,6
17355,Arca,4
78484,Arcadia,7
85326,Arcadian,8
63337,Arcadic,7
11436,Arcellidae,10
118332,Arceuthobium,12
12499,Archaeornithes,14
140046,Archaeozoic,11
140042,Archean,7
140045,Archeozoic,10
85720,Archer,6
17048,Archiannelida,13
23557,Archidiskidon,13
16053,Archilochus,11
96003,Archimedes,10
24567,Archosargus,11
14592,Archosauria,11
17353,Arcidae,7
76389,Arctic,6
19335,Arctictis,9
21289,Arctiidae,9
108766,Arctium,7
23491,Arctocebus,10
18685,Arctocephalus,13
22941,Arctonyx,8
112160,Arctostaphylos,14
108777,Arctotis,8
81485,Arcturus,8
17849,Ardea,5
17846,Ardeidae,8
79412,Ardennes,8
110593,Ardisia,7
116344,Arecaceae,9
105873,Arecidae,8
107404,Arenaria,8
10967,Arenaviridae,12
96004,Arendt,6
116367,Arenga,6
86187,Areopagite,10
78452,Areopagus,9
79748,Arequipa,8
84172,Ares,4
15399,Argasidae,9
24004,Argentina,9
195741,Argentine,9
85145,Argentinian,11
24002,Argentinidae,12
15336,Argiope,7
15334,Argiopidae,10
196168,Argive,6
81487,Argo,4
17439,Argonaut,8
17435,Argonauta,9
17433,Argonautidae,12
10641,Argonne,7
78459,Argos,5
83612,Argus,5
15679,Argusianus,10
20967,Argynnis,8
108783,Argyranthemum,13
119346,Argyreia,8
35862,Argyrol,7
21035,Argyrotaenia,12
108790,Argyroxiphium,13
83953,Arhant,6
83952,Arhat,5
78264,Arhus,5
84237,Ariadne,7
80255,Ariana,6
56667,Arianism,8
83728,Arianrhod,9
83729,Arianrod,8
84834,Aricara,7
77691,Aries,5
23740,Ariidae,7
62661,Arikara,7
20562,Arilus,6
107884,Ariocarpus,10
25084,Ariomma,7
107153,Arisaema,8
107162,Arisarum,8
81489,Aristarchus,11
139581,Aristocort,10
107355,Aristolochia,12
107352,Aristolochiaceae,16
107350,Aristolochiales,15
139582,Aristopak,9
96008,Aristophanes,12
196255,Aristotelean,12
111812,Aristotelia,11
196254,Aristotelian,12
55447,Aristotelianism,15
196256,Aristotelic,11
96009,Aristotle,9
23743,Arius,5
14958,Arizona,7
85586,Arizonan,8
85587,Arizonian,9
83587,Arjuna,6
26187,Ark,3
85588,Arkansan,8
80378,Arkansas,8
85589,Arkansawyer,11
81006,Arlington,9
17658,Armadillidiidae,15
17660,Armadillidium,13
7865,Armageddon,10
71878,Armagnac,8
80075,Armenia,7
76285,Armenian,8
110611,Armeria,7
123389,Armillaria,10
123397,Armillariella,13
96012,Armin,5
192829,Arminian,8
56955,Arminianism,11
96011,Arminius,8
108180,Armoracia,9
96018,Armstrong,9
79488,Arnhem,6
81492,Arno,4
96025,Arnold,6
108800,Arnoseris,9
103274,Arouet,6
96027,Arp,3
110713,Arrhenatherum,13
96030,Arrhenius,9
13496,Artamidae,9
13498,Artamus,7
96033,Artaxerxes,10
17703,Artemia,7
84182,Artemis,7
15281,Arthropoda,10
123070,Arthropteris,12
96038,Arthur,6
193014,Arthurian,9
22271,Artiodactyla,12
114224,Artocarpus,10
79400,Artois,6
60839,ArtsD,5
78147,Aruba,5
62466,Arulo,5
111259,Arundinaria,11
110721,Arundo,6
83789,Aruru,5
21663,Arvicola,8
84707,Aryan,5
135693,As,2
140950,Asadha,6
79298,Asahikawa,9
79320,Asama,5
63262,Asamiya,7
96042,Asanga,6
140949,Asarh,5
107367,Asarum,6
14042,Ascaphidae,10
14044,Ascaphus,8
16993,Ascaridae,9
16999,Ascaridia,9
16995,Ascaris,7
140676,Ascension,9
96043,Asch,4
16984,Aschelminthes,13
12112,Ascidiaceae,11
123402,Asclepiadaceae,14
123406,Asclepias,9
121566,Ascomycetes,11
121562,Ascomycota,10
121564,Ascomycotina,12
11539,Ascophyllum,11
52583,Asgard,6
96047,Ashe,4
80896,Asheville,9
83791,Ashir,5
84557,Ashkenazi,9
80134,Ashkhabad,9
96050,Ashton,6
83792,Ashtoreth,9
83790,Ashur,5
96052,Ashurbanipal,12
81502,Asia,4
174398,Asian,5
195752,Asiatic,7
19993,Asilidae,8
106064,Asimina,7
96055,Asimov,6
140955,Asin,4
13831,Asio,4
78382,Asmara,6
78383,Asmera,6
79233,Aspadana,8
115432,Aspalathus,10
114690,Asparagaceae,12
121601,Aspergillaceae,14
121597,Aspergillales,13
121603,Aspergillus,11
117377,Asperula,8
114701,Asphodelaceae,13
114704,Asphodeline,11
114710,Asphodelus,10
15120,Aspidelaps,10
20610,Aspidiotus,10
25256,Aspidophoroides,15
78090,Aspinwall,9
15206,Aspis,5
122773,Aspleniaceae,12
122775,Asplenium,9
79145,Assam,5
85007,Assamese,8
22158,Assault,7
79123,Assouan,7
79122,Assuan,6
66600,Assumption,10
79277,Assur,5
96053,Assurbanipal,12
79276,Assyria,7
63439,Assyrian,8
56416,Assyriology,11
17587,Astacidae,9
17589,Astacura,8
17594,Astacus,7
96057,Astaire,7
80102,Astana,6
83793,Astarte,7
108666,Asteraceae,10
108660,Asteridae,9
21398,Asteroidea,10
83271,Asterope,8
96061,Astor,5
115437,Astragalus,10
79951,Astrakhan,9
121759,Astreus,7
112457,Astroloma,9
118604,Astronium,9
21415,Astrophyton,11
24323,Astropogon,10
79743,Asuncion,8
79278,Asur,4
83864,Asura,5
96054,Asurbanipal,11
140956,Asvina,6
83866,Asvins,6
79121,Aswan,5
135696,At,2
38402,Atabrine,8
62560,Atakapa,7
62561,Atakapan,8
33956,Atarax,6
96064,Ataturk,7
62970,Atayalic,8
84186,Ate,3
23431,Ateles,6
84818,Athabascan,10
84817,Athabaskan,10
56668,Athanasianism,13
96068,Athanasius,10
84816,Athapascan,10
62564,Athapaskan,10
96072,Athelstan,9
84187,Athena,6
84188,Athene,6
195779,Athenian,8
80502,Athens,6
24702,Atherinidae,11
24706,Atherinopsis,12
21726,Atherurus,9
78449,Athinai,7
11152,Athiorhodaceae,14
78446,Athos,5
105448,Athrotaxis,10
122908,Athyriaceae,11
122935,Athyrium,8
35217,Ativan,6
80500,Atlanta,7
81509,Atlantic,8
84136,Atlantides,10
52584,Atlantis,8
84325,Atlas,5
12844,Atrichornis,11
12842,Atrichornithidae,16
107723,Atriplex,8
120209,Atropa,6
20748,Atropidae,9
84245,Atropos,7
34202,Atrovent,8
62732,Atsugewi,8
62562,Attacapa,8
84814,Attacapan,9
116373,Attalea,7
196165,Attic,5
78456,Attica,6
21285,Atticus,7
96073,Attila,6
96076,Attlee,6
135798,Au,2
96080,Auchincloss,11
79694,Auckland,8
120810,Aucuba,6
96083,Auden,5
196257,Audenesque,10
96086,Audubon,7
140878,Aug,3
172467,Augean,6
83584,Augeas,6
25878,Augmentin,9
140877,August,6
80631,Augusta,7
196403,Augustan,8
96088,Augustine,9
95608,Augustinian,11
96092,Augustus,8
16162,Aulacorhyncus,13
12012,Aulostomidae,12
12014,Aulostomus,10
72728,Aum,3
95976,Aurelius,8
119975,Aureolaria,10
29040,Aureomycin,10
121883,Auricularia,11
121881,Auriculariaceae,15
121879,Auriculariales,14
81515,Auriga,6
13453,Auriparus,9
84298,Aurora,6
26399,Auschwitz,9
85147,Aussie,6
96096,Austen,6
78227,Austerlitz,10
81007,Austin,6
78786,Australasia,11
193074,Australasian,12
78758,Australia,9
85146,Australian,10
23230,Australopithecus,16
78849,Austria,7
195700,Austrian,8
105452,Austrocedrus,12
78787,Austronesia,11
62936,Austronesian,12
105814,Austrotaxus,11
21269,Automeris,9
79401,Auvergne,8
140914,Av,2
23507,Avahi,5
83951,Avalokiteshvara,15
83950,Avalokitesvara,14
110729,Avena,5
117908,Averrhoa,8
96098,Averroes,8
12476,Aves,4
58479,Avesta,6
195404,Avestan,7
96101,Avicenna,8
120423,Avicennia,9
120425,Avicenniaceae,13
96104,Avogadro,8
81519,Avon,4
73966,Axis,4
79076,Ayr,3
22406,Ayrshire,8
16243,Aythya,6
58781,Ayurveda,8
26482,Azactam,7
117806,Azadirachta,11
112343,Azaleastrum,11
80082,Azerbaijan,10
62793,Azerbaijani,11
80084,Azerbajdzhan,12
76286,Azeri,5
120980,Azolla,6
120978,Azollaceae,10
79791,Azores,6
84825,Aztec,5
62698,Aztecan,7
61963,B,1
60740,BA,2
60746,BAN,3
27878,BAR,3
62530,BASIC,5
26937,BB,2
197342,BC,2
60748,BD,2
58424,BIN,3
73674,BJA,3
73676,BJS,3
69918,BLT,3
60750,BLitt,5
137629,BM,2
75671,BMDO,4
125178,BMR,3
60754,BMus,4
60756,BNS,3
133475,BPH,3
72924,BR,2
60758,BS,2
60761,BSArch,6
132527,BSE,3
127602,BTU,3
7952,BW,2
27442,BWR,3
135700,Ba,2
83796,Baal,4
84432,Babar,5
42170,Babel,5
11747,Babesiidae,10
815,Babinski,8
79268,Babylon,7
79269,Babylonia,9
57847,Babylonian,10
22299,Babyrousa,9
